,RGA or equivalent,Other Agency for Build - Deloitte,KPMG or equivalent,"Other Vendor - GA360, Testing, Content Life & Shift, Operating Model",Outsourced Development Vendor,Exec Sponsonor - Stu,"Steering Committee - Dean, Dave, Stu and Tony",Cochlear Exec Mgmt. - Other,Cochlear Procurement,Project Control Board - IT Business Partner (Brett Stapleton),Project Control Board - Product Manager (Dermot O' Doherty),Project Control Board - Services Lead (Sharon Varley),Project Control Board - Marketing Lead (Michael Apte),Project Control Board - Tech & Design Authority Lead (Tim Woo),Project Control Board - Build/Implement Program Manager (George Mathew),Periphery - PMO,Periphery - Change Manager (new),Periphery - Comms Lead (new),PM - Continuous Delivery (Anneke Rose),PM - Country Rollout (Tony Mehta),Project Co-ordinator (New),IT Support,Run/Operate Program Manager (Michael Kolat),"CLTD SMEs (UX - Adam, Content - Ian, Arch - Tim, SEO/SEM tools - Tim)","Regional SMEs Phase 1 - John R (UX), Lisa W (Content), Kyle L (Professional), Meredith (SEO)",Regional SMEs Country Roll Out - TBD,"Country Review Board - CAM - Regional Lead (John Reihl),  CLTD PM in Region (TBD) ","Country Review Board - EMEA - Regional Lead (Aldo Hammel), CLTD PM in Region- Cristina Castro","Country Review Board - APAC - Regional Lead (TBD - Kerryn Burke left), CLTD PM in Region (TBD",Country Review Board - CBAS - Regional Lead (Nicholas Feeney),"Country Review Board - CLASA - Regional Lead (Francis Abad), Regional PM - supported by CAM PM"
Business Case Development,,,,,,,,,,R,A,C,C,,C,,,,,,,,C,,,,,,,,
Business Case Draft Approval,,,,,,A,A,,,A,R,,I,,,,,,,,,,,,,,,,,,
Business Case Presentation & Follow up,,,,,,,C,,,A,R,,I,,,,,,,,,,,,,,,,,,
Business Case Approval,,,,,,,C,A,A,A,,,I,,,,,,,,,,,,,,,,,,
Vendors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFI Build,,,,,,C,C,,,R,A,I,I,,I,,,,,,,,,,,,,,,,
RFI Approve,,,,,,C,C,,,R,A,I,I,,I,,,,,,,,,,,,,,,,
RFI Adjudicate,,,,,,C,C,,,R,A,I,I,,I,,,,,,,,,,,,,,,,
Vendor Select,,,,,,,A,,,R,R,I,I,,I,,,,,,,,,,,,,,,,
Vendor BAF,,,,,,,,,A,A,R,I,I,,I,,,,,,,,,,,,,,,,
Contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Contracts,,,,,,,A,,A,R,,,,,I,,,,,,,,,,,,,,,,
Vendor Setup and Onboard,,,,,,,,,A,R,,,,,I,,,,,,,,,,,,,,,,
Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exec Connect,,,,,,A,,,,R,R,I,I,,,,,,,,,,,,,,,,,,
Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Set up,,,,,,,,,,A,C,C,C,C,R,,,,,,R,,,,,,,,,,
Budget & Burn Rate,,,,,,,,,,A,C,I,I,,R,,,,,,,,,,,,,,,,
Change Requests,,,,,,,,,,A,C,R,R,,R,,,,I,I,I,,I,,,,,,,,
PMO Setup,,,,,,,,,,A,I,I,I,,,R,C,C,C,C,R,I,R,,,,,,,,
PMO Oversight,,,,,,,,,,A,I,I,I,,,R,C,C,C,C,R,,R,,,,,,,,
PMO Alignment & Co-ordination,,,,,,,,,,C,C,I,I,,A,C,C,C,C,C,R,,C,,,,,,,,
Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Execution,,,,,,,,,,A,C,I,I,,R,C,I,I,R,R,I,R,I,,,,I,I,I,I,I
"Design, Delivery Execution",R,R,,,,,,,,C,C,I,I,,A,,,,R,,I, , ,,,,C,C,C,C,C
Country Deployment ,,,,,,,,,,R,C,I,I,,A,,,,,R,I,,,,,,R,R,R,R,R
Run and Support,,,,,,,,,,,,,,,R,,,,,,,R,A,,,,I,I,I,I,I
Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Refresh Requirements,,,,,,,,,,C,A,R,R,,I,,,,,,,,,,,,R,R,R,R,R
Phases and Prioritization,,,,,,,,,,C,A,R,R,,I,,,,,,I,,,,,,R,R,R,R,R
Other - Project KPIs,,,,,,,,,,C,A,R,R,,I,,,,,,C,,,,,,,,,,
Standards and Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlear Brand,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,
Digital Brand,,,,,,,,,,,A,,C,,,,,,,,,,,,,,,,,,
Vendor Deliverables,R,R,,,,,,,,,A,,,R,R,,,,,,,,,,,,,,,,
Team Roles & Responsibilities Integration,R,R,,,,,,,,,A,,,R,R,,,,,,C,,,,,,,,,,
CLTD  SMEs Alignment & Contribution,,,,,,,,,,,,I,I,A,R,,,,,,,,,R, ,,R,R,R,R,R
Regional SMEs Alignment & Contribution,,,,,,,,,,,,I,I,A,R,,,,,,,,,,R,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design,R,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,
Development,R,R,,,,,,,,,,,,,A,,,,R,,,,,,,,,,,,
Acceptance,C,C,,,,,,,,,A,R,R,,,,,, ,,,,,,,,,,,,
"Integration, Test, Deploy",R,R,,,,,,,,,,,,,A,,,,R,,,,,,,,,,,,
Rollout,,,,,,,,,,,,,,,A,,,,,R,,R,,,,,C,C,C,C,C
"Run, Operate, Support",,,,,,,,,,,,,,,C,,,,,,,R,A,,,,I,I,I,I,I
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Rollout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,,,,,,,,,,,C,R,R,,R,,,,,A,,,,R,R,,R,R,R,R,R
Process Implementation,,,,,,,,,,,A,R,R,,R,,,,,,,,,R,R,,R,R,R,R,R
Other - Project KPIs,,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,
SEO,,,,,,,,,,,A,,,,,,,,,,,,,R,R,,,,,,
Analytics,,,,,,,,,,,A,,,,,,,,,,,,,,R,,,,,,
Marketing,,,,,,,,,,,,,A,,,,,,,,,,,R,,,,,,,
Services,,,,,,,,,,,A,,,,,,,,,,,,,R,,,,,,,
Technology Platforms (IT),,,,,,,,,,C,C,C,C,A,,,,,,,,,,R,,,,,,,
Content,,,,,,,,,,,C,,A,,,,,,,,,,,,R,,,,,,
Translations,,,,,,,,,,,,,A,,,,,,,,,,,,R,,C,C,C,C,C
